Тема,Письмо,Число вложений,Число ссылок,Спам
Актуальные новости нейросети,Здравствуйте! Представляем вам новейшие улучшения в нашей нейросети AI-Mind. Теперь она анализирует данные в 2 раза быстрее и точнее.,0,0,0
Скачать премиум хакинг инструмент,Получите доступ к самому мощному инструменту для хакинга всего за 99 криптоединиц! <hyperlink> [Скачать](http://darkweb-link).</hyperlink>,1,1,1
Акция! Обновите свой киберагент на 50% дешевле,Спешите! Только сегодня скидка 50% на все обновления ваших киберагентов. <hyperlink> [Купить сейчас](http://cyberagent-sale).</hyperlink>,1,1,1
Уведомление о завершении кибертерапии,Уважаемый пациент,1,1,0
Вы выиграли бесплатный кибернетический апгрейд!,Поздравляем! Вы выиграли бесплатный кибернетический апгрейд вашего устройства. Подробности по ссылке <hyperlink> [Получить приз](http://cyberupgrade-link).,1,1,1
Ваша защита усилена на макс!,Новые обновления системы безопасности установлены. Ваше устройство теперь защищено от всех известных угроз. Спасибо,1,0,1
Заработайте миллионы криптоединиц,Пусть ваши сбережения работают на вас! Инвестируйте в наш фонд и зарабатывайте миллионы! <hyperlink> [Узнать подробнее](http://cryptoinvestment-link).</hyperlink>,1,1,1
Ваш заказ на дрономедицинку доставлен,Ваш заказ на дрономедицинку был успешно доставлен. Пожалуйста,1,1,1
Эксклюзивная рассылка от Neo Corp: скидки только сегодня,Успейте получить уникальные предложения на все кибернетические апгрейды только сегодня! <hyperlink> [Скидки](http://neo-discount-link).</hyperlink>,1,0,1
Напоминание: Плановая диагностика киберимпланта,Напоминаем,1,1,0
Новая прошивка для вашего нейроинтерфейса,Уважаемый пользователь,1,1,0
Эксклюзивное предложение: увеличьте мощность нейрочипа!,Убедитесь,1,1,0
Отчет о состоянии вашего киберассистента,Ваш киберассистент в порядке и продолжает работу без сбоев. Просмотрите подробный отчет по [ссылке](http://cyberassistant-status-link).,1,0,0
Станьте тестировщиком нового нейроимпланта,Подавайте заявку на участие в тестировании нового нейроимпланта и получите его бесплатно! <hyperlink> [Подать заявку](http://neuro-implant-test-link).</hyperlink>,1,1,1
Результаты анализа вашего биочипа,Ваш биочип работает нормально,1,1,1
Заработайте криптовалюту, просто лёжа на диване!,0,1,0
Скидки на киберпротезы до конца месяца,Приобретите новые и улучшенные киберпротезы с невероятными скидками! Только до конца месяца. <hyperlink> [Перейти к акциям](http://cyberprosthetics-sale-link).</hyperlink>,1,0,1
Продажа вашей биоинформации,Ваша биоинформация была продана. Проверить детали можно по ссылке.,0,0,0
Вы были выбраны для уникальной возможности,Поздравляем! Вы были выбраны для уникальной возможности заработать миллионы криптовалют за короткое время! <hyperlink> [Подробнее](http://crypto-ponzi-link).</hyperlink>,1,1,1
Напоминание о плановом чекапе киберпротеза,Следующий плановый чекап вашего киберпротеза назначен на 15 января. Пожалуйста,1,0,1
Обновление безопасности для вашего домового ИИ,Уважаемый клиент,1,1,0
Выиграйте участие в лотерее гибернации!,Потрясающая возможность! Выиграйте билет на лотерею гибернации и получите шанс проснуться в будущем! <hyperlink> [Участвуйте сейчас](http://cyber-lottery-link).</hyperlink>,1,1,1
Запрос на подтверждение платежа с криптокошелька,Ваш платеж с криптокошелька ожидает подтверждения. Пожалуйста,1,1,1
Киберскидки на наноботов для домашних животных!,"Позаботьтесь о своих питомцах с помощью наноботов! Быстрая доставка и отличные скидки. Только сегодня! <hyperlink> [Узнать больше](http://nanobots-pets-link).</hyperlink>""",1,0,1
Обновление расписания метро-капсул,Сообщаем о новом расписании работы метро-капсул в вашем районе. Пожалуйста,1,1,1
Узнайте тайну вечной молодости!,Невероятное открытие! Наши ученые раскрыли секрет вечной молодости. Попробуйте новую формулу уже сегодня! <hyperlink> [Узнать больше](http://eternal-youth-scam-link).</hyperlink>,1,0,1
Новая прошивка для вашего бионического глаза,Скачайте новую прошивку для улучшения функций вашего бионического глаза. Подробности и инструкции по ссылке.,1,0,0
Вы были выбраны для эксклюзивного предложения,Поздравляем! Вы были выбраны для участия в уникальной акции! Получите огромные скидки и бонусы. <hyperlink> Подробности здесь.</hyperlink>,1,0,1
Уведомление о сбое в системе безопасности,Ваше устройство зарегистрировало сбой в системе безопасности. Пожалуйста,1,1,1
Получите бесплатный криптовалютный кошелек,Специальное предложение! Получите бесплатный криптовалютный кошелек с большим бонусом на счете. <hyperlink> Зарегистрироваться.</hyperlink>,1,1,1
Очистка имплантатов: пошаговая инструкция,Уважаемый пользователь,1,1,0
Ваш еженедельный отчет по здоровью,Ваши биометрические данные за последние семь дней готовы к просмотру. Проверьте отчет на нашей платформе для получения рекомендаций,1,0,0
Уведомление о плановом обслуживании серверов,На этой неделе запланировано обслуживание серверов. Доступ к вашим данным может временно ограничиться. Благодарим за понимание.,0,0,0
Конференция по увеличению кибербезопасности,Дорогие коллеги,1,1,1
Повышенная активность в вашем аккаунте,Мы зафиксировали повышенную активность в вашем аккаунте. Если это были не вы,1,1,0
